Order At;Order ID;Produk;Provinsi;Harga Produksi;Harga Satuan;Profit;Qty;Total Harga;Zero
19/01/2022;1;Tumbler;Sumatera Selatan;50000;60000;40000;4;240000;0
15/07/2022;2;Gantungan Kunci;Banten;5000;10000;15000;3;30000;0
17/02/2022;3;Gantungan Kunci;Jambi;5000;10000;10000;2;20000;0
05/06/2022;4;Gantungan Kunci;Riau;5000;10000;25000;5;50000;0
10/03/2022;5;Buku Soal OMITS SD;Maluku;35000;50000;75000;5;250000;0
06/03/2022;6;T-Shirt;Jawa Barat;65000;75000;20000;2;150000;0
19/03/2022;7;Buku Soal OMITS SD;Jawa Tengah;35000;50000;60000;4;200000;0
31/05/2022;8;Gantungan Kunci;Kalimantan Selatan;5000;10000;10000;2;20000;0
13/03/2022;9;Gantungan Kunci;Daerah Istimewa Yogyakarta;5000;10000;10000;2;20000;0
07/05/2022;10;Pin;Papua Barat;2500;5000;2500;1;5000;0
28/06/2022;11;Tumbler;Jawa Timur;50000;60000;10000;1;60000;0
27/09/2022;12;Pin;Sulawesi Tenggara;2500;5000;2500;1;5000;0
02/02/2022;13;Buku Soal OMITS SMP;Jawa Timur;35000;55000;40000;2;110000;0
20/07/2022;14;Buku Soal OMITS SD;Sulawesi Selatan;35000;50000;30000;2;100000;0
29/11/2022;15;Buku Soal OMITS SMA;Papua Pegunungan;35000;60000;100000;4;240000;0
25/03/2022;16;Mug;Papua Tengah;15000;20000;25000;5;100000;0
20/03/2022;17;Gantungan Kunci;Kalimantan Timur;5000;10000;20000;4;40000;0
25/11/2022;18;T-Shirt;Banten;65000;75000;50000;5;375000;0
17/03/2022;19;T-Shirt;DKI Jakarta;65000;75000;40000;4;300000;0
21/12/2022;20;Pin;Nusa Tenggara Timur;2500;5000;10000;4;20000;0
23/10/2022;21;Totebag;Sulawesi Utara;20000;25000;5000;1;25000;0
13/03/2022;22;Tumbler;Papua;50000;60000;20000;2;120000;0
28/01/2022;23;Sticker;Nusa Tenggara Timur;5000;10000;10000;2;20000;0
01/04/2022;24;Buku Soal OMITS SMP;Kalimantan Tengah;35000;55000;60000;3;165000;0
16/02/2022;25;Buku Soal OMITS SMP;Jawa Barat;35000;55000;100000;5;275000;0
12/01/2022;26;Buku Soal OMITS SD;Riau;35000;50000;45000;3;150000;0
06/08/2022;27;Buku Soal OMITS SMA;Sulawesi Barat;35000;60000;75000;3;180000;0
26/08/2022;28;Mug;Bengkulu;15000;20000;25000;5;100000;0
18/09/2022;29;Pin;Bengkulu;2500;5000;12500;5;25000;0
11/04/2022;30;Buku Soal OMITS SMP;Sulawesi Utara;35000;55000;100000;5;275000;0
14/05/2022;31;T-Shirt;Sumatera Selatan;65000;75000;50000;5;375000;0
